date;main1;main2;main3;main4;main5;euro1;euro2;joker
2026-01-02;10;15;29;34;38;2;9;
2026-01-06;21;23;30;33;38;8;12;
2026-01-09;1;17;19;25;41;6;12;
2026-01-13;2;16;27;33;47;6;12;
2026-01-16;8;16;37;39;48;5;11;
2026-01-20;16;26;32;37;45;2;3;
2026-01-23;18;36;39;45;50;6;9;
2026-01-27;13;18;19;29;32;8;9;
2026-01-30;8;13;15;17;37;3;7;
2026-02-03;3;20;27;37;44;1;2;
2026-02-06;8;14;38;41;48;1;11;
2026-02-10;12;19;34;39;47;4;5;
2026-02-13;1;21;44;45;46;2;7;
2026-02-17;8;23;39;40;44;6;7;
2026-02-20;11;17;23;36;40;5;6;
